,,,,,,Daily Price Report-01-01-2022 to 31-12-2022 for Maharashtra,,,,,
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"8,000.00","14,000.00","11,000.00",Rs./Quintal,25-05-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"8,000.00","14,000.00","11,000.00",Rs./Quintal,24-05-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"8,000.00","14,000.00","11,000.00",Rs./Quintal,21-05-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"8,000.00","14,000.00","11,000.00",Rs./Quintal,20-05-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"8,000.00","14,000.00","11,000.00",Rs./Quintal,19-05-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"5,800.00","6,200.00","6,000.00",Rs./Quintal,18-05-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"8,000.00","14,000.00","11,000.00",Rs./Quintal,17-05-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"8,000.00","14,000.00","11,000.00",Rs./Quintal,14-05-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"8,000.00","14,000.00","11,000.00",Rs./Quintal,11-05-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"8,000.00","14,000.00","11,000.00",Rs./Quintal,10-05-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,07-05-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,06-05-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,05-05-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,04-05-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,03-05-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,30-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,29-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,27-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,26-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,23-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,22-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,20-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,19-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,14-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,13-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,12-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,09-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,08-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,07-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,06-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,05-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,02-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,01-04-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,31-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"6,000.00","12,000.00","9,000.00",Rs./Quintal,30-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,29-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,26-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,25-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,24-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,22-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,17-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,16-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,15-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,14-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,12-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,11-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,10-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,09-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,08-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,05-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,04-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,03-03-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,28-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,26-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,25-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,24-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,23-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,22-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,18-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,17-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,16-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,15-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,14-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,12-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,11-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"2,000.00","15,000.00","12,000.00",Rs./Quintal,10-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,09-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,08-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,05-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,04-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,03-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,02-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,01-02-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,31-01-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,28-01-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,25-01-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,22-01-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,21-01-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,19-01-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,18-01-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,17-01-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,15-01-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,14-01-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,13-01-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,11-01-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,10-01-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,08-01-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,07-01-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,05-01-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,04-01-2022
Maharashtra,Mumbai,Mumbai APMC,Spices,Turmeric,Other,FAQ,"9,000.00","15,000.00","12,000.00",Rs./Quintal,01-01-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,850.00","6,201.00","6,025.00",Rs./Quintal,10-12-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,801.00","5,115.00","4,958.00",Rs./Quintal,12-11-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,221.00","5,151.00","4,686.00",Rs./Quintal,28-10-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,545.00","5,555.00","5,050.00",Rs./Quintal,20-10-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,222.00","5,222.00","5,222.00",Rs./Quintal,18-10-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,006.00","5,006.00","5,006.00",Rs./Quintal,04-10-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,133.00","5,534.00","5,333.00",Rs./Quintal,26-09-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"2,000.00","4,725.00","3,362.00",Rs./Quintal,24-09-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,848.00","5,700.00","5,274.00",Rs./Quintal,23-09-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,141.00","5,927.00","5,034.00",Rs./Quintal,14-09-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,355.00","5,525.00","5,440.00",Rs./Quintal,13-09-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,700.00","5,900.00","5,800.00",Rs./Quintal,02-09-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,959.00","5,415.00","5,187.00",Rs./Quintal,27-08-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,000.00","5,600.00","4,800.00",Rs./Quintal,25-08-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,025.00","6,018.00","5,022.00",Rs./Quintal,22-08-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,000.00","6,016.00","5,508.00",Rs./Quintal,20-08-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,277.00","6,005.00","5,141.00",Rs./Quintal,17-08-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,444.00","5,911.00","5,177.00",Rs./Quintal,13-08-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,300.00","5,750.00","5,525.00",Rs./Quintal,05-08-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,709.00","6,061.00","5,885.00",Rs./Quintal,03-08-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,500.00","6,050.00","5,775.00",Rs./Quintal,30-07-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,200.00","5,600.00","5,400.00",Rs./Quintal,29-07-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,000.00","6,157.00","5,579.00",Rs./Quintal,25-07-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,204.00","6,205.00","5,204.00",Rs./Quintal,20-07-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"3,001.00","6,028.00","4,514.00",Rs./Quintal,19-07-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,206.00","6,200.00","5,703.00",Rs./Quintal,11-07-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,756.00","6,163.00","5,956.00",Rs./Quintal,07-07-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"2,003.00","6,125.00","4,064.00",Rs./Quintal,06-07-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,555.00","6,219.00","5,887.00",Rs./Quintal,05-07-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"3,300.00","5,811.00","4,555.00",Rs./Quintal,04-07-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,729.00","6,029.00","5,879.00",Rs./Quintal,01-07-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,200.00","6,153.00","5,176.00",Rs./Quintal,29-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,505.00","6,111.00","5,308.00",Rs./Quintal,28-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,000.00","6,009.00","5,004.00",Rs./Quintal,27-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"2,050.00","5,849.00","3,949.00",Rs./Quintal,25-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,600.00","5,900.00","5,750.00",Rs./Quintal,24-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,759.00","6,069.00","5,914.00",Rs./Quintal,23-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"3,200.00","6,063.00","4,631.00",Rs./Quintal,22-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,500.00","6,000.00","5,250.00",Rs./Quintal,21-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,800.00","6,002.00","5,401.00",Rs./Quintal,20-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,357.00","5,827.00","5,592.00",Rs./Quintal,18-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,251.00","6,030.00","5,640.00",Rs./Quintal,17-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"3,500.00","6,056.00","4,778.00",Rs./Quintal,15-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"3,000.00","6,005.00","4,502.00",Rs./Quintal,14-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,400.00","6,014.00","5,207.00",Rs./Quintal,11-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,500.00","5,982.00","5,242.00",Rs./Quintal,10-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,725.00","6,010.00","5,867.00",Rs./Quintal,09-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,400.00","6,000.00","5,700.00",Rs./Quintal,08-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,400.00","5,978.00","5,189.00",Rs./Quintal,07-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,401.00","5,929.00","5,165.00",Rs./Quintal,04-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,044.00","6,012.00","5,028.00",Rs./Quintal,03-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,700.00","6,029.00","5,364.00",Rs./Quintal,01-06-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"3,500.00","6,051.00","4,775.00",Rs./Quintal,31-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,409.00","6,059.00","5,234.00",Rs./Quintal,30-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,400.00","6,027.00","5,213.00",Rs./Quintal,28-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,200.00","6,019.00","5,609.00",Rs./Quintal,27-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,713.00","5,713.00","5,713.00",Rs./Quintal,26-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,800.00","6,081.00","5,441.00",Rs./Quintal,25-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,000.00","5,858.00","4,929.00",Rs./Quintal,24-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,000.00","5,800.00","4,900.00",Rs./Quintal,23-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,001.00","6,059.00","5,030.00",Rs./Quintal,21-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,000.00","6,113.00","5,556.00",Rs./Quintal,20-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,201.00","5,950.00","5,075.00",Rs./Quintal,19-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,000.00","6,050.00","5,025.00",Rs./Quintal,18-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"3,100.00","6,162.00","4,631.00",Rs./Quintal,17-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,604.00","6,202.00","5,903.00",Rs./Quintal,16-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,500.00","6,258.00","5,379.00",Rs./Quintal,14-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,200.00","6,244.00","5,722.00",Rs./Quintal,11-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,000.00","6,161.00","5,081.00",Rs./Quintal,10-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,701.00","6,212.00","5,456.00",Rs./Quintal,09-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,509.00","6,305.00","5,407.00",Rs./Quintal,07-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,300.00","6,470.00","5,885.00",Rs./Quintal,06-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,001.00","6,329.00","5,665.00",Rs./Quintal,05-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,555.00","6,427.00","6,100.00",Rs./Quintal,04-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"3,000.00","6,568.00","4,200.00",Rs./Quintal,03-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,500.00","6,555.00","5,477.00",Rs./Quintal,02-05-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,000.00","6,600.00","5,800.00",Rs./Quintal,30-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,500.00","6,567.00","5,533.00",Rs./Quintal,29-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,700.00","6,700.00","6,200.00",Rs./Quintal,28-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,400.00","6,704.00","6,052.00",Rs./Quintal,27-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,858.00","6,518.00","6,190.00",Rs./Quintal,26-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,404.00","6,814.00","6,109.00",Rs./Quintal,25-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"6,100.00","6,928.00","6,514.00",Rs./Quintal,23-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"6,205.00","7,000.00","6,602.00",Rs./Quintal,22-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"6,500.00","6,851.00","6,675.00",Rs./Quintal,21-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,500.00","6,956.00","5,728.00",Rs./Quintal,20-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"3,500.00","6,984.00","5,242.00",Rs./Quintal,19-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,511.00","7,025.00","6,268.00",Rs./Quintal,18-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"6,000.00","7,027.00","6,515.00",Rs./Quintal,16-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,519.00","7,127.00","6,323.00",Rs./Quintal,15-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,500.00","7,155.00","6,328.00",Rs./Quintal,13-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,800.00","7,219.00","6,510.00",Rs./Quintal,12-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,500.00","7,250.00","5,875.00",Rs./Quintal,11-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"4,857.00","7,411.00","6,134.00",Rs./Quintal,09-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,000.00","7,527.00","6,263.00",Rs./Quintal,08-04-2022
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,Other,FAQ,"5,400.00","7,415.00","6,407.00",Rs./Quintal,07-04-2022
